"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2007","Number","1026"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2008","Number","7"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2009","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2010","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2002","Number","242"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2003","Number","274"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2004","Number","310"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2005","Number","370"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2006","Number","607"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2007","Number","840"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2008","Number","806"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2009","Number","4"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2010","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2008","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2002","Number","210"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2003","Number","243"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2004","Number","254"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2005","Number","293"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2006","Number","433"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2007","Number","568"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2008","Number","664"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2009","Number","483"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2010","Number","4"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2009","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2010","2002","Number","202"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2010","2003","Number","194"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2010","2004","Number","236"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2010","2005","Number","255"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2010","2006","Number","355"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2010","2007","Number","419"
